"","YawRate","Rolling","Rudder"
"88",-3.87,1.91,-4.44
"89",-6.64,3.24,-4.95
"90",-6.45,3.73,-4.65
"91",-2.6,3.6,-3.84
"92",1.45,3.28,-6.63
"93",2.54,1.66,-8.92
"94",0.91,1.06,-9.77
"95",-0.47,0.89,-9.5
"96",-1.15,2.12,-6.14
"97",-2.92,2.52,-3.45
"98",-4.18,4.01,-0.53
"99",-3.74,4.63,0.28
"100",-2.68,4.96,0.49
"101",-1.74,4.58,-0.46
"102",-1.38,3.28,-2.67
"103",-0.69,1.66,-4.93
"104",0.24,0.62,-6.02
"105",-1.09,-0.43,-4.98
"106",-3.36,-0.85,-5.84
"107",-4.29,-0.56,-6.43
"108",-3.28,0.56,-6.86
"109",-1.18,1.42,-7.63
"110",0,2.15,-7.41
"111",-0.4,1.36,-7.38
"112",-2.27,1.59,-7.37
"113",-2.7,3.11,-6.42
"114",-2.59,3.79,-4.91
"115",-2.75,4.22,-3.72
"116",-3.52,4.79,-3.14
"117",-2.57,4.32,-2.09
"118",0.09,3.84,-1.6
"119",1.4,2.52,-1.84
"120",0.22,1.38,-2.24
"121",-2.12,0.57,-1.61
"122",-4.09,0.33,-1.82
"123",-4.17,1.06,-2.02
"124",-2.74,2.22,-3.85
"125",-1.53,2.52,-6.77
"126",-1.16,3.2,-7.56
"127",-1.85,4.19,-8.49
"128",-2.15,4.1,-8.65
"129",-2.48,4.04,-9.03
"130",-3.49,4.56,-7.95
"131",-3.81,4.4,-8.24
"132",-1.59,3.49,-8.6
"133",1.82,2.19,-8.52
"134",3.94,1.34,-8.92
"135",2.65,0.95,-7.88
"136",0,0.92,-4.58
"137",-2.37,1.72,-1.9
"138",-2.81,2.57,-0.8
"139",-2.11,2.63,0.22
"140",-1.98,3.38,0.29
"141",-2.48,2.71,-1.67
"142",-3.12,2.52,-5.69
"143",-2.89,2.34,-8.86
"144",-1.5,2.38,-9.94
"145",-0.24,2.35,-10.7
"146",-0.17,2.17,-10.49
"147",-0.76,1.8,-9.97
"148",-0.96,2.02,-10.77
"149",0.51,1.97,-8.32
"150",1.34,2.31,-4.78
"151",1.49,2.23,-3.09
"152",0.94,2.02,-1.54
"153",0.42,1.83,-0.38
"154",-0.68,1.65,0.08
"155",-2.28,1.97,1.11
"156",-3.5,2.12,1.69
"157",-3.38,2.11,1.32
"158",-2.2,1.57,-2.11
"159",-1.02,0.8,-7.08
"160",-0.37,0.45,-8.72
"161",-0.08,0.25,-9.29
"162",0.27,0.37,-9.73
"163",1.03,0.57,-9.75
"164",0.94,0.95,-8.89
"165",-0.47,2.42,-4.82
"166",-1.26,3.27,-1.82
"167",-1.96,4.39,-0.75
"168",-3.08,5.01,0.02
"169",-4.05,4.99,-0.27
"170",-3.54,4.13,-0.23
"171",-0.8,2.13,-2.48
"172",2.38,-0.68,-6.45
"173",3.22,-2.68,-7.77
"174",1.7,-3.51,-8.99
"175",-1.44,-3.38,-9.8
"176",-3.83,-2.22,-7.22
"177",-4.59,-0.05,-4.47
"178",-2.39,1.9,-2.97
"179",0.7,2.6,-3.11
"180",2.28,2.7,-1.88
"181",0.9,2.09,-1.61
"182",-1.25,2.01,0.22
"183",-1.79,2.32,-0.64
"184",-0.96,2.52,-0.88
"185",-0.28,2.82,-1.43
"186",-0.25,1.98,-3.42
"187",-0.32,1.72,-5.17
"188",-1.38,1.91,-6.53
"189",-2.73,1.88,-6.81
"190",-2.02,1.91,-5.87
"191",-0.18,2.28,-6.62
"192",1.3,2.52,-7.58
"193",1.85,1.82,-8.22
"194",1.16,1.09,-8.57
"195",-0.81,0.64,-6.37
"196",-1.56,1.08,-3.46
"197",-0.32,2.24,-1.3
"198",-0.25,2.23,-0.09
"199",-1.03,2.06,1.5
"200",-1.47,2.13,1.17
"201",-1.47,2.1,0.51
"202",-0.58,2.32,0.42
"203",-0.49,1.1,-0.91
"204",-0.57,0.56,-3.74
"205",-0.43,-0.45,-3.68
"206",-1,-0.4,-5.78
"207",-2.12,-0.24,-7.14
"208",-2.04,0.58,-7.27
"209",-0.7,1.46,-7.14
"210",-0.52,2.16,-6.51
"211",-1.02,3.21,-6.18
"212",-0.44,4.72,-7.17
"213",-0.21,4.67,-6.82
"214",-0.38,4.45,-3.88
"215",-1.13,3.96,-0.77
"216",-0.76,3.26,1.46
"217",-0.4,2.7,1.73
"218",-0.42,2.16,1.45
"219",-1.56,0.62,1.32
"220",-2.99,-0.15,1.55
"221",-3.09,-0.13,-0.66
"222",-1.7,-0.66,-2.15
"223",-0.24,-0.63,-5.58
"224",0.77,-0.51,-6.61
"225",0.21,0.55,-8.34
"226",-1.52,1.96,-8.72
"227",-3.08,4.73,-7.9
"228",-3.54,6.65,-4.95
"229",-3.29,8.28,-1.3
"230",-0.64,9.04,-0.72
"231",2.09,7.72,-1.34
"232",3.8,5.77,-1.01
"233",3.88,2.69,-0.02
"234",2.15,1.09,0.47
"235",-0.84,-0.22,1.38
"236",-5.48,-0.63,1.08
"237",-7.58,0.15,0.64
"238",-6.26,0.72,-0.64
"239",-1.88,0.59,-5.11
"240",3.27,0.13,-7.07
"241",4.97,-0.77,-7.79
"242",3.54,-0.92,-9.16
"243",-0.28,-0.07,-9.04
"244",-2.88,2.06,-5.23
"245",-4.51,4.97,-1.15
"246",-3.31,7.44,1.7
"247",-1.63,8.33,2.36
"248",-0.17,7.87,1.57
"249",0.24,6.78,-1.27
"250",0.64,4.35,-3.52
"251",1.06,1.75,-3.11
"252",-0.01,0.15,-4.61
"253",-1.49,-0.68,-5.7
"254",-3.71,-1.36,-6.09
"255",-5.08,-0.52,-5.81
"256",-4.03,0.38,-5.13
"257",-2.7,1.07,-5.12
"258",-3.48,1.88,-6.16
"259",-4.02,2.12,-6.32
"260",-1.93,3.27,-6
"261",1.87,3.57,-4.91
"262",4.21,3.46,-5.84
"263",3.53,3.92,-5.85
"264",0.54,4.37,-1.6
"265",-2.84,5.16,0.65
"266",-4.44,6.3,3.57
"267",-4.08,6.23,4.2
"268",-2.23,5.45,2.92
"269",0.41,3.23,-0.61
"270",1.28,-0.01,-3.33
"271",-1.16,-1.71,-4.45
"272",-3.87,-1.42,-6.81
"273",-4.77,-0.57,-7.23
"274",-4.91,0.23,-7.19
"275",-4.72,2.48,-6.89
"276",-2.98,4.34,-6.78
"277",0.36,5.61,-8.06
"278",2.76,5.94,-7.97
"279",3.26,5.45,-7.55
"280",0.81,5.52,-4.6
"281",-3.02,6.37,-1.02
"282",-4.79,6.75,0.44
"283",-4.73,6.76,1.34
"284",-2.62,5.58,1.45
"285",-0.56,3.2,0.82
"286",-0.05,0.37,-4.37
"287",-0.61,-2.44,-6.99
"288",-0.75,-3.87,-6.94
"289",-1.03,-4.62,-6.09
"290",-2.06,-3.67,-7.36
"291",-2.47,-2.43,-8.44
"292",-2,-0.61,-8.69
"293",-2.25,1.31,-8.34
"294",-1.85,3.73,-8.06
"295",-1.72,5.97,-4.79
"296",-3.87,8.47,-3.49
"297",-6.12,10.4,-2.77
"298",-4.65,10.88,-3.19
"299",-1.76,9.87,-2.18
"300",0.6,7.38,-1.07
"301",0.89,4.24,-1.5
"302",-0.27,1.36,-3.61
"303",-1.91,-1.12,-4.03
"304",-1.34,-2.92,-4.7
"305",-0.41,-3.9,-3.37
"306",0.37,-5.16,-4.36
"307",1.01,-4.12,-6.36
"308",0.18,-4.09,-6.76
"309",-2.21,-1.13,-6.61
"310",-3.3,1.06,-5.23
"311",-3.32,2.8,-6.06
"312",-3.13,5.84,-7.13
"313",-2.85,8.6,-7
"314",-1.98,10.07,-6.52
"315",-1.48,9.65,-6.06
"316",-1.59,8.18,-7.17
"317",-2,5.9,-6.93
"318",-1.09,3.73,-5.74
"319",1.4,1.76,-6.64
"320",2.67,-0.57,-7.13
"321",2.24,-2.01,-6.76
"322",0.79,-3.37,-5.87
"323",-0.83,-3.25,-5.68
"324",-2.04,-2.88,-6.07
"325",-2.3,-1.79,-6.24
"326",-1.33,0.2,-5.77
"327",-1.26,1.93,-5.13
"328",-1.51,3.16,-4.45
"329",-2.74,4.4,-2.98
"330",-2.38,5.5,-3.87
"331",0.5,5.57,-4.84
"332",2.55,4.35,-4.37
"333",2.83,3.23,-3.39
"334",0.35,2.5,-2.25
"335",-2.17,2.76,-2.38
"336",-2.15,2.16,-3.09
"337",-2.12,2.55,-3.9
"338",-0.84,3.45,-3.66
"339",1.22,3.87,-3.4
"340",0.36,2.71,-2.25
"341",-1.61,2.88,-2.43
"342",-3.14,3.16,-3.48
"343",-3.22,3.06,-3.8
"344",-1.76,2.84,-3.48
"345",-0.4,2.24,-2.33
"346",0.76,0.9,-2.6
"347",0.92,-0.32,-3.46
"348",-0.24,-0.22,-3.74
"349",-1.64,0.44,-3.62
"350",-0.81,1.52,-3.4
"351",-0.21,1.48,-1.93
"352",-1.12,1.86,-2.48
"353",-2.41,3.29,-3.44
"354",-3.32,4.51,-3.69
"355",-4.36,4.56,-3.46
"356",-3.23,4.93,-3.09
"357",-1.83,5.16,-2.42
"358",-0.65,4.5,-3.49
"359",0.32,3.16,-3.88
"360",1.42,1.43,-3.61
"361",1.08,0.55,-3.01
"362",-0.76,0.62,-2.4
"363",-2.45,1.77,-3.42
"364",-2.69,2.72,-3.84
"365",-2.41,2.5,-3.53
"366",-1.4,1.93,-3.29
"367",0.97,2.12,-2.36
"368",2.84,1.74,-3.34
"369",3.74,1.65,-3.66
"370",2.08,1.64,-2.91
"371",-2.46,2.64,-0.42
"372",-6.06,3.89,2.68
"373",-6.4,5.25,2.46
"374",-3.58,5.12,1.74
"375",0.28,3.6,-0.32
"376",2.55,1.29,-3.32
"377",2.61,0.13,-6.21
"378",0.36,-1.06,-7.73
"379",-2.83,-0.07,-8.28
"380",-3.49,0.99,-7.4
"381",-2.49,2.76,-4.37
"382",-1.9,3.67,-4.44
"383",-2.28,4.8,-3.61
"384",-1.78,5.24,-3.02
"385",-1.03,4.6,-1.52
"386",-0.69,3.17,-2.44
"387",-1.52,2.62,-3.16
"388",-3.05,1.99,-2.84
"389",-3.68,2.3,-1.29
"390",-2.96,2,-1.32
"391",-2.09,2.94,-4.98
"392",-1.64,3.08,-6.96
"393",-0.5,3.04,-7.98
"394",0.51,2.04,-7.67
"395",0.12,2.58,-9.31
"396",-1.72,2.98,-9.46
"397",-2.99,3.93,-8.83
"398",-3.83,4.65,-5.64
"399",-3.25,5.94,-4.75
"400",-2.56,6,-4.69
"401",-1.87,5.75,-3.3
"402",-2.53,4.53,-2.91
"403",-3.14,3.4,-1.99
"404",-1.35,2.52,-2.94
"405",1.2,1.08,-5.35
"406",2.11,0.45,-7.12
"407",1.4,-0.26,-7.9
"408",-1.35,-0.04,-7.28
"409",-5.13,0.44,-8.24
"410",-5.67,2.21,-8.94
"411",-2.92,3.24,-9.57
"412",-0.6,5.5,-9.79
"413",0.08,6.36,-9.83
"414",-0.43,5.75,-9.61
"415",-1.67,5.07,-8.05
"416",-1.89,4.62,-6.09
"417",-0.54,3.91,-4.39
"418",0.2,3.01,-3.74
"419",-0.22,2.11,-3.83
"420",-0.6,0.83,-4.25
"421",-0.77,-0.02,-4.66
"422",-1.89,0.24,-3.97
"423",-2.52,1.01,-3.65
"424",-2.55,1.69,-3.44
"425",-3.23,2.23,-3.3
"426",-3.18,2.84,-1.8
"427",-1.16,3.19,-2.93
"428",2.18,2.66,-6.75
"429",2.97,1.82,-8.02
"430",0.73,1.16,-8.68
"431",-0.98,1.43,-9.18
"432",-1.48,2.13,-8.41
"433",-1.3,2.93,-8.04
"434",-2.22,4.05,-5.82
"435",-3.03,4.8,-4.71
"436",-1.35,5.55,-4.38
"437",1.57,5.14,-4.58
"438",1.71,3.69,-3.89
"439",0.72,2.92,-3.75
"440",-0.24,2.83,-3.37
"441",-0.45,2.69,-2.35
"442",-1.6,1.37,-2.12
"443",-1.75,0.95,-2.56
"444",-1.57,0.73,-3.34
"445",-0.91,1.04,-3.44
"446",-0.66,0.79,-3.31
"447",-0.09,1.08,-2.96
"448",0.13,1.01,-2.39
"449",0.61,0.81,-1.74
"450",0.35,0.12,-2.6
"451",-0.81,0.8,-2.98
"452",-3.36,1.28,-3.26
"453",-5.74,2.09,-3.09
"454",-5.87,2.65,-3.41
"455",-3.2,2.68,-5.42
"456",0.26,1.91,-8.52
"457",2.77,1.33,-10.99
"458",2.6,-0.83,-11.26
"459",-0.33,-1.06,-11.21
"460",-3.41,-0.2,-9.56
"461",-4.18,1.31,-5.29
"462",-2.3,1.61,-2.76
"463",0.31,1.44,-2.36
"464",1.61,1.01,-1.96
"465",0.66,1.32,-1.94
"466",-1.19,1.04,-1.66
"467",-3.05,0.81,-1.25
"468",-4.36,1.35,-1.24
"469",-3.98,1.57,-1.04
"470",-2.18,2.28,-5.53
"471",-0.41,1.23,-9.29
"472",1.94,0.94,-10.25
"473",2.68,-0.35,-10.76
"474",2.03,0.48,-10.77
"475",0.48,1.83,-9.22
"476",-0.97,2.78,-4.73
"477",-3.2,3.51,-1.92
"478",-4.97,4.92,-1.02
"479",-3.96,5.86,-1.1
"480",-0.29,5.2,-1.46
"481",2.52,3.21,-2.66
"482",2.16,1.22,-4.86
"483",0.28,1.05,-6.3
"484",-0.47,1.72,-5.35
"485",-0.2,1.01,-6.47
"486",-1.24,0.44,-7.27
"487",-1.29,0.83,-7.38
"488",-0.93,0.92,-5.6
"489",-0.84,0.55,-4.76
"490",-0.62,0.12,-3.66
"491",0.31,0.28,-3.34
"492",2.17,0.52,-3.08
"493",2.95,0.5,-2.69
"494",0.98,0.2,-1.69
"495",-2.82,0.78,-1.5
"496",-4.28,2.19,-1.34
"497",-1.89,2.81,-1.62
"498",1.01,3.73,-1.84
"499",2.56,4.86,-1.54
"500",1.05,5.49,-0.99
"501",-1.3,5.4,0.37
"502",-1.7,5.14,-0.18
"503",-2.52,5.2,-0.62
"504",-2.25,3.73,-1.2
"505",-1.17,2.52,-1.04
"506",-1.13,0.14,-1.83
"507",-2.77,-1.31,-1.45
"508",-4.38,-1.24,-3.15
"509",-1.67,-0.57,-4.5
"510",1.47,-0.84,-6.74
"511",2.98,-1.1,-6.88
"512",2.21,-0.02,-7.09
"513",0,1.3,-6.89
"514",-3.54,2.31,-6.2
"515",-7.12,4.94,-2.65
"516",-6.82,7.59,-1.96
"517",-3.17,8.42,-1.04
"518",-0.18,7.86,-1.42
"519",0.06,7,-1.71
"520",-0.55,4.46,-3.16
"521",-0.87,2.5,-3.87
"522",-0.36,0.79,-3.45
"523",0.18,-0.01,-4.37
"524",-0.23,-1.15,-4.96
"525",-0.36,-1.73,-6.28
"526",-0.41,-2.47,-6.33
"527",-2.17,-2.38,-6.09
"528",-3.88,-1.38,-6.14
"529",-4.75,0.58,-5.93
"530",-4.65,2.53,-5.13
"531",-3.44,4.78,-5.03
"532",-2.83,6.65,-5.8
"533",-2.73,7,-6.19
"534",-1.09,6.29,-5.79
"535",1.3,5.24,-4.52
"536",2.12,3.09,-5.04
"537",1.12,1.62,-5.83
"538",-0.15,0.33,-6.33
"539",-1.85,-0.04,-5.61
"540",-2.74,0.56,-3.29
"541",-2.4,0.66,-2.62
"542",-1.51,0.9,-1.61
"543",-0.17,0.6,-0.08
"544",-0.49,0.34,-0.63
"545",-1.72,1.24,-1.09
"546",-3.32,2.32,-1.36
"547",-3.8,4.52,-1.37
"548",-3.83,5.93,-1.6
"549",-0.54,5.95,-3.57
"550",2.03,5.66,-6.5
"551",3.84,4.74,-9.22
"552",3.5,2.7,-10.04
"553",2.13,1.79,-9.53
"554",-0.83,0.88,-6.09
"555",-5.56,1.62,-1.11
"556",-6.14,2.72,0
"557",-3.52,2.54,0.64
"558",-0.65,2.21,-0.55
"559",1.34,1.1,-2.92
"560",1.45,0.38,-4.17
"561",0.08,-0.14,-5.52
"562",-1.05,0.17,-6.69
"563",-1.18,1.1,-7.47
"564",-1.26,2.12,-7.02
"565",-1.7,3.19,-6.45
"566",-3.05,3.84,-3.69
"567",-4.31,4.45,-1.84
"568",-3.66,4.84,-1.46
"569",-1.82,5.61,-1.9
"570",-0.04,4.67,-1.69
"571",0.54,3.12,-1.2
"572",0.1,1.71,-0.86
"573",-0.56,1.25,-2.58
"574",-0.94,0.06,-4.15
"575",-1.77,0.13,-4.2
"576",-2,0.03,-4.25
"577",-1.95,0.34,-4.33
"578",-2.95,1.18,-3.61
"579",-4.02,2.53,-3.68
"580",-3.42,3.21,-4.44
"581",-1.5,3.49,-7.03
"582",0.19,2.41,-7.75
"583",0.56,2.38,-8.49
"584",-0.31,2.56,-8.41
"585",-2.01,3.63,-7.83
"586",-3.8,4.71,-8.63
"587",-4.52,5.78,-8.4
"588",-1.16,6.16,-7.47
"589",1.28,5.69,-6.48
"590",2.16,5.11,-5.47
"591",0.92,4.33,-5.04
"592",-1.32,3.29,-3.68
"593",-1.77,3.14,-3.1
"594",-0.93,3.22,-1.82
"595",0.25,2.22,-1.23
"596",0.6,0.94,-0.37
"597",-0.43,-0.4,0.83
"598",-2.08,-1.15,0.16
"599",-3.19,-1.44,-0.27
"600",-2.13,-0.69,-1.54
"601",0,-0.46,-4.72
"602",-0.78,-0.39,-5.84
"603",-3.55,1.83,-5.49
"604",-6.91,3.67,-6.42
"605",-5.59,6.04,-7.97
"606",-1.76,7.33,-8.4
"607",1.58,8.61,-8.34
"608",4.28,8.41,-8.08
"609",3.85,7.41,-8.03
"610",1.97,6.17,-5.84
"611",-0.73,5.12,-3.1
"612",-1.65,4.67,-1.28
"613",-0.23,3.54,-0.82
"614",1.55,1.87,-0.26
"615",1.49,-0.21,0.31
"616",-0.44,-2.92,0.44
"617",-1.91,-4.02,2.05
"618",-2.09,-3.85,0.39
"619",-1.55,-2.36,-4.24
"620",-2.12,-2.19,-7.54
"621",-3.17,-0.74,-10.28
"622",-2.75,0.9,-11.13
"623",-2.26,4.08,-10.89
"624",-2.36,6.04,-9.97
"625",-2.12,8.2,-9.11
"626",-2.14,9.73,-5.65
"627",-1.72,9.84,-3.52
"628",-1,9.36,-3.14
"629",-0.38,7.22,-2.12
"630",0,4.91,-1.59
"631",0.08,1.92,-1.27
"632",-0.97,-0.17,-0.59
"633",-2.04,-1.96,0.58
"634",-2.33,-3.68,-0.23
"635",-1.79,-3.79,-0.51
"636",-0.47,-3.5,-3.72
"637",0.03,-2.85,-7
"638",-0.92,-1.5,-7.59
"639",-1.9,0.04,-8.37
"640",-2.71,2.8,-8.67
"641",-2.45,5.83,-7.34
"642",-2.09,7.92,-8.22
"643",-1.79,9.2,-9.18
"644",-1.92,9.24,-7.87
"645",-1.96,9.26,-5.45
"646",-0.98,7.62,-3.71
"647",0.06,5.99,-3.1
"648",1.27,2.72,-3.56
"649",1.3,0.9,-3.64
"650",-1.4,-0.85,-3.19
"651",-4.35,-1.42,-2.94
"652",-5.08,-1.81,-1.64
"653",-2.79,-1.43,-2.47
"654",0.97,-0.68,-3.41
"655",3.22,-0.6,-2.97
"656",1.55,-0.34,-2.41
"657",-2.42,1.1,-1.89
"658",-5.79,3.19,-2.95
"659",-5.69,6.05,-3.02
"660",-3.64,7.31,-2.63
"661",-2.34,7.65,-4.56
"662",-1.83,6.29,-7.49
"663",-0.21,5.96,-7.53
"664",1.05,4.28,-9.41
"665",0.42,2.63,-9.87
"666",-1.99,2.43,-8.52
"667",-3.39,3.1,-8.27
"668",-3.09,3.52,-6.89
"669",-2.07,3.35,-5.12
"670",-0.67,3.19,-3.08
"671",0.55,2.4,-3.64
"672",0.59,1.11,-3.22
"673",-0.75,0.6,-1.77
"674",-2.08,0.44,-2.9
"675",-3.05,1.81,-3.02
"676",-1.76,1.87,-2.59
"677",-1,2.2,-2.76
"678",-0.55,3.28,-5.73
"679",-0.8,4.44,-6.51
"680",-1.05,4.4,-6.26
"681",-0.32,4.6,-7.53
"682",0.04,4.41,-7.14
"683",0.66,4.23,-6.32
"684",-0.29,3.59,-7.49
"685",-2.39,2.94,-7.23
"686",-3.96,2.71,-5.86
"687",-3.09,3.22,-7.29
"688",-0.44,2.7,-7.46
"689",1.81,1.54,-5.93
"690",2.11,0.94,-7.34
"691",0.44,0.96,-6.72
"692",-1.76,1.58,-2.41
"693",-2.05,3.12,-0.88
"694",-0.45,4.7,-0.78
"695",0.46,4.46,0.13
"696",0.72,5.1,1.04
"697",-0.55,2.98,0.1
"698",-1.7,1.19,-1.01
"699",-1.64,-0.13,-4.07
"700",-1.47,-0.73,-6.8
"701",-1.77,-1.74,-7.04
"702",-1.64,-1.16,-6.16
"703",-1.65,-0.42,-8.34
"704",-1.46,-0.06,-8.5
"705",-1.55,0.74,-6.83
"706",-1.77,1.55,-8.38
"707",-0.46,2.07,-8.34
"708",1.16,2.88,-7.28
"709",1.28,3.03,-8.74
"710",-0.29,4.68,-7.09
"711",-2.01,6.02,-2.73
"712",-2.8,6.61,-2.36
"713",-2.66,6.63,-1.66
"714",-1.6,6.65,0.37
"715",-0.03,5.2,-0.26
"716",0.45,3.23,-0.6
"717",-0.41,0.6,-2.57
"718",-1.5,-1.2,-4.56
"719",-2.54,-2.55,-6.87
"720",-3.04,-2.43,-6.7
"721",-1.78,-1.46,-5.72
"722",0.85,-0.46,-6.89
"723",1.54,-0.65,-7.37
"724",0,-0.24,-7.28
"725",-1.77,2.5,-5.94
"726",-2.27,4.82,-6.78
"727",-3.31,6.43,-7.49
"728",-3.61,8.16,-6.82
"729",-2.21,9.31,-5.56
"730",-0.27,8.77,-6.78
"731",0.91,6.58,-6.27
"732",1.52,3.7,-4.94
"733",1.58,1.06,-5.98
"734",1.6,-0.29,-5.31
"735",-0.28,-2.27,-1.56
"736",-3.09,-3.04,-1.43
"737",-4.14,-3.02,-1.47
"738",-1.92,-2.79,-1.17
"739",-0.08,-2.38,1.22
"740",1.61,-1.83,0.33
"741",1.52,-0.4,-0.66
"742",0.04,0.54,0.19
"743",-2.52,1.56,-0.64
"744",-4.11,3.41,-1.49
"745",-2.48,5.88,-1
"746",-0.89,6.38,-2.79
"747",-0.23,6.52,-5.76
"748",-1.23,4.95,-6.95
"749",-1.56,4.94,-5.77
"750",-2.02,3.48,-6.78
"751",-1.42,2.67,-7.58
"752",-0.32,1.78,-7.1
"753",-0.84,1.37,-6.68
"754",-0.84,0.16,-8.41
"755",-0.5,-0.02,-7.22
"756",-0.33,-0.1,-4.21
"757",-0.63,0.64,-2.46
"758",-0.72,1.84,-1.88
"759",-1.2,2.17,-1
"760",-1.62,3.2,0.72
"761",-2.8,3.27,-0.4
"762",-3.78,3.83,0.14
"763",-2.71,3.89,1.18
"764",-0.55,3.68,-3.28
"765",0,2.3,-6.14
"766",-1.11,1.11,-6.69
"767",-1.81,1.27,-7.36
"768",-1.69,1.91,-8.96
"769",-2.53,2.66,-8.92
"770",-3.05,3.93,-7.45
"771",-1.36,5.04,-8.52
"772",1.16,4.95,-8.58
"773",1.48,4.41,-5.25
"774",-0.27,4.36,-1.23
"775",-2.49,4.65,-0.32
"776",-3.49,3.45,1.06
"777",-2.9,4.33,2.72
"778",-2.06,3.33,0.81
"779",-0.76,2.4,-2.57
"780",-0.28,0.77,-4.1
"781",-0.5,-0.31,-7.33
"782",-0.46,-0.63,-7.23
"783",-1.47,-0.32,-7.75
"784",-3.19,0.56,-8.87
"785",-4.42,1.9,-8.28
"786",-3.71,3.68,-7.97
"787",-0.7,4.8,-8.87
"788",2.4,5.3,-7.21
"789",3.1,4.8,-8.2
"790",1.57,3.65,-4.44
"791",-0.27,3.99,0.55
"792",-2.03,3.14,0.7
"793",-2.37,3.28,1.22
"794",-2.84,3.24,1.67
"795",-2.85,2.54,2.17
"796",-2.34,2.38,-2.63
"797",-1.94,1.18,-5.58
"798",-0.64,0.89,-5.8
"799",1.04,0.36,-8.26
"800",1.34,0.03,-9.53
"801",0.02,0.44,-9.3
"802",-1.27,1.6,-7.97
"803",-1.86,3.04,-6.04
"804",-2.26,4.56,-4.52
"805",-2.82,5.96,-3.19
"806",-1.85,6.53,-0.54
"807",-0.52,5.94,-1.42
"808",1.08,4.09,-1.83
"809",0.72,2.72,-1.41
"810",-2.03,2.41,0.3
"811",-4.44,2.21,-0.71
"812",-3.77,1.42,-1.83
"813",-0.96,0.2,-4.8
"814",1.69,-0.17,-5.36
"815",2.29,0.15,-8.17
"816",0.7,0.22,-9.77
"817",-2.65,0.92,-9.85
"818",-4.09,3.01,-7.85
"819",-3.48,4.82,-3.68
"820",-2.27,6.16,-3.49
"821",-0.58,5.77,-3.51
"822",0.61,4.58,-2.69
"823",0.63,3.39,-1.12
"824",0.23,2.26,-1.88
"825",-1.08,1.37,-2.12
"826",-2.47,0.77,-1.64
"827",-2.27,0.98,-0.73
"828",-1.17,0.76,-0.88
"829",-0.7,0.66,-3.76
"830",-0.81,0.35,-5.31
"831",0.46,-0.11,-5.77
"832",1.21,-0.06,-5.44
"833",0.73,0.62,-6.4
